,trial_id,State_1,$images_1,overspec_n,overspec_n_singleton,overspec_n_pair,noun,total_n,singleton_total_n,pair_total_n
179,136,state_B,chain_whole.jpg,0,0,0,chain,16,8,8.0
180,138,state_A,envelope_ripped.jpg,12,7,5,envelope,16,8,8.0
181,138,state_B,envelope_whole.jpg,0,0,0,envelope,16,8,8.0
182,139,state_A,naan_ripped.jpg,1,1,0,naan,13,5,8.0
183,139,state_B,naan_whole.jpg,0,0,0,naan,16,8,8.0
184,140,state_A,sugarpacket_ripped.jpg,4,1,3,sugarpacket,16,8,8.0
185,140,state_B,sugarpacket_whole.jpg,0,0,0,sugarpacket,16,8,8.0
186,141,state_A,notepad_ripped.jpg,7,3,4,notepad,16,8,8.0
187,141,state_B,notepad_whole.jpg,0,0,0,notepad,16,8,8.0
188,142,state_A,chipbag_ripped.jpg,3,3,0,chipbag,15,7,8.0
189,142,state_B,chipbag_whole.jpg,0,0,0,chipbag,16,8,8.0
190,143,state_A,jar_empty.jpg,2,2,0,jar,15,8,7.0
191,143,state_B,jar_full.jpg,1,0,1,jar,14,6,8.0
192,144,state_A,garbagecan_empty.jpg,0,0,0,garbagecan,14,6,8.0
193,144,state_B,garbagecan_full.jpg,1,1,0,garbagecan,12,5,7.0
194,145,state_A,hamper_empty.jpg,0,0,0,hamper,13,7,6.0
195,145,state_B,hamper_full.jpg,1,1,0,hamper,15,7,8.0
196,146,state_A,eggcarton_empty.jpg,4,3,1,eggcarton,14,6,8.0
197,146,state_B,eggcarton_full.jpg,0,0,0,eggcarton,16,8,8.0
198,147,state_A,wineglass_empty.jpg,1,0,1,wineglass,15,7,8.0
199,147,state_B,wineglass_full.jpg,1,1,0,wineglass,16,8,8.0
200,148,state_A,shoppingcart_empty.jpg,0,0,0,shoppingcart,15,8,7.0
201,148,state_B,shoppingcart_full.jpg,3,2,1,shoppingcart,16,8,8.0
