,trial_id,State_1,$images_1,noun,overspec_n,overspec_n_singleton,overspec_n_pair,total_n,singleton_total_n,pair_total_n
119,94,state_B,road_straight.jpg,road,0,0,0,16,8,8.0
120,97,state_A,staircase_curved.jpg,staircase,1,0,1,16,8,8.0
121,97,state_B,staircase_straight.jpg,staircase,0,0,0,14,8,6.0
122,98,state_A,boot_dirty.jpg,boot,6,5,1,16,8,8.0
123,98,state_B,boot_clean.jpg,boot,0,0,0,16,8,8.0
124,99,state_A,dish_dirty.jpg,dish,7,4,3,16,8,8.0
125,99,state_B,dish_clean.jpg,dish,1,1,0,14,6,8.0
126,100,state_A,car_dirty.jpg,car,5,3,2,16,8,8.0
127,100,state_B,car_clean.jpg,car,0,0,0,16,8,8.0
128,104,state_A,gloves_dirty.jpg,gloves,7,3,4,16,8,8.0
129,104,state_B,gloves_clean.jpg,gloves,0,0,0,16,8,8.0
130,106,state_A,spoon_dirty.jpg,spoon,7,3,4,15,7,8.0
131,106,state_B,spoon_clean.jpg,spoon,0,0,0,16,8,8.0
132,108,state_A,stovetop_dirty.jpg,stovetop,8,3,5,16,8,8.0
133,108,state_B,stovetop_clean.jpg,stovetop,0,0,0,16,8,8.0
134,109,state_A,bucket_dirty.jpg,bucket,2,0,2,16,8,8.0
135,109,state_B,bucket_clean.jpg,bucket,1,0,1,14,6,8.0
136,110,state_A,shoe_dirty.jpg,shoe,4,4,0,16,8,8.0
137,110,state_B,shoe_clean.jpg,shoe,0,0,0,16,8,8.0
138,111,state_A,cup_dirty.jpg,cup,1,1,0,16,8,8.0
139,111,state_B,cup_clean.jpg,cup,0,0,0,15,8,7.0
140,112,state_A,hands_dirty.jpg,hands,9,3,6,16,8,8.0
141,112,state_B,hands_clean.jpg,hands,1,0,1,16,8,8.0
142,113,state_A,soccerball_dirty.jpg,soccerball,1,1,0,16,8,8.0
143,113,state_B,soccerball_clean.jpg,soccerball,0,0,0,16,8,8.0
144,114,state_A,potato_dirty.jpg,potato,2,1,1,15,7,8.0
145,114,state_B,potato_clean.jpg,potato,0,0,0,16,8,8.0
146,115,state_A,couch_dirty.jpg,couch,2,2,0,16,8,8.0
147,115,state_B,couch_clean.jpg,couch,0,0,0,16,8,8.0
148,116,state_A,pig_dirty.jpg,pig,4,3,1,16,8,8.0
149,116,state_B,pig_clean.jpg,pig,0,0,0,15,8,7.0
150,121,state_A,cookie_broken.jpg,cookie,8,3,5,16,8,8.0
151,121,state_B,cookie_whole.jpg,cookie,0,0,0,16,8,8.0
152,122,state_A,cracker_broken.jpg,cracker,10,6,4,16,8,8.0
153,122,state_B,cracker_whole.jpg,cracker,0,0,0,16,8,8.0
154,123,state_A,chocolatebar_broken.jpg,chocolatebar,4,4,0,16,8,8.0
155,123,state_B,chocolatebar_whole.jpg,chocolatebar,0,0,0,15,7,8.0
156,124,state_A,vase_broken.jpg,vase,11,5,6,16,8,8.0
157,124,state_B,vase_whole.jpg,vase,0,0,0,14,8,6.0
158,125,state_A,glasses_broken.jpg,glasses,12,6,6,16,8,8.0
159,125,state_B,glasses_whole.jpg,glasses,0,0,0,16,8,8.0
160,126,state_A,egg_broken.jpg,egg,13,7,6,16,8,8.0
161,126,state_B,egg_whole.jpg,egg,1,1,0,16,8,8.0
162,127,state_A,fence_broken.jpg,fence,10,7,3,16,8,8.0
163,127,state_B,fence_whole.jpg,fence,0,0,0,16,8,8.0
164,128,state_A,mirror_broken.jpg,mirror,13,7,6,16,8,8.0
165,128,state_B,mirror_whole.jpg,mirror,0,0,0,11,5,6.0
166,129,state_A,tire_broken.jpg,tire,12,6,6,16,8,8.0
167,129,state_B,tire_whole.jpg,tire,2,2,0,16,8,8.0
168,130,state_A,cigarette_broken.jpg,cigarette,8,5,3,15,8,7.0
169,130,state_B,cigarette_whole.jpg,cigarette,0,0,0,16,8,8.0
170,131,state_A,pencil_broken.jpg,pencil,12,6,6,16,8,8.0
171,131,state_B,pencil_whole.jpg,pencil,0,0,0,16,8,8.0
172,132,state_A,piggybank_broken.jpg,piggybank,12,6,6,16,8,8.0
173,132,state_B,piggybank_whole.jpg,piggybank,0,0,0,16,8,8.0
174,134,state_A,plate_broken.jpg,plate,15,8,7,16,8,8.0
175,134,state_B,plate_whole.jpg,plate,0,0,0,16,8,8.0
176,135,state_A,table_broken.jpg,table,14,7,7,16,8,8.0
177,135,state_B,table_whole.jpg,table,0,0,0,14,7,7.0
178,136,state_A,chain_broken.jpg,chain,10,4,6,16,8,8.0
179,136,state_B,chain_whole.jpg,chain,0,0,0,16,8,8.0
180,138,state_A,envelope_ripped.jpg,envelope,12,7,5,16,8,8.0
181,138,state_B,envelope_whole.jpg,envelope,0,0,0,16,8,8.0
182,139,state_A,naan_ripped.jpg,naan,1,1,0,13,5,8.0
